from_currency_code,from_currency_name,to_currency_code,to_currency_name,exchange_rate,last_refreshed,time_zone
JPY,Japanese Yen,USD,United States Dollar,0.00902006,2018-09-06 16:01:33,UTC
EUR,Euro,USD,United States Dollar,1.1626556,2018-09-06 16:15:02,UTC
JPY,Japanese Yen,USD,United States Dollar,0.00902462,2018-09-06 16:15:32,UTC
CHF,Swiss Franc,USD,United States Dollar,1.0336772,2018-09-06 16:16:02,UTC
GBP,British Pound Sterling,USD,United States Dollar,1.294113,2018-09-06 16:16:32,UTC
EUR,Euro,USD,United States Dollar,1.1623852,2018-09-06 16:30:02,UTC
CHF,Swiss Franc,USD,United States Dollar,1.0343508,2018-09-06 16:30:32,UTC
GBP,British Pound Sterling,USD,United States Dollar,1.294113,2018-09-06 16:31:03,UTC
JPY,Japanese Yen,USD,United States Dollar,0.00902935,2018-09-06 16:31:33,UTC
CHF,Swiss Franc,USD,United States Dollar,1.0344471,2018-09-06 16:45:08,UTC
JPY,Japanese Yen,USD,United States Dollar,0.00902755,2018-09-06 16:45:38,UTC
GBP,British Pound Sterling,USD,United States Dollar,1.293728,2018-09-06 16:46:08,UTC
EUR,Euro,USD,United States Dollar,1.1625204,2018-09-06 16:46:38,UTC
JPY,Japanese Yen,USD,United States Dollar,0.00903016,2018-09-06 17:00:02,UTC
CHF,Swiss Franc,USD,United States Dollar,1.034736,2018-09-06 17:00:32,UTC
EUR,Euro,USD,United States Dollar,1.162926,2018-09-06 17:01:02,UTC
GBP,British Pound Sterling,USD,United States Dollar,1.293728,2018-09-06 17:01:36,UTC
JPY,Japanese Yen,USD,United States Dollar,0.00902739,2018-09-06 17:15:02,UTC
EUR,Euro,USD,United States Dollar,1.1623852,2018-09-06 17:15:32,UTC
GBP,British Pound Sterling,USD,United States Dollar,1.293293,2018-09-06 17:16:02,UTC
CHF,Swiss Franc,USD,United States Dollar,1.0344471,2018-09-06 17:16:32,UTC
CHF,Swiss Franc,USD,United States Dollar,1.0338161,2018-09-06 17:30:02,UTC
GBP,British Pound Sterling,USD,United States Dollar,1.2928917,2018-09-06 17:30:32,UTC
EUR,Euro,USD,United States Dollar,1.16198,2018-09-06 17:31:05,UTC
