from_currency_code,from_currency_name,to_currency_code,to_currency_name,exchange_rate,last_refreshed,time_zone
CHF,Swiss Franc,USD,United States Dollar,1.0284363,2018-09-05 18:15:32,UTC
JPY,Japanese Yen,USD,United States Dollar,0.00896596,2018-09-05 18:16:02,UTC
EUR,Euro,USD,United States Dollar,1.1627907,2018-09-05 18:16:32,UTC
EUR,Euro,USD,United States Dollar,1.1630613,2018-09-05 18:30:03,UTC
CHF,Swiss Franc,USD,United States Dollar,1.0288066,2018-09-05 18:30:33,UTC
GBP,British Pound Sterling,USD,United States Dollar,1.2904558,2018-09-05 18:31:03,UTC
JPY,Japanese Yen,USD,United States Dollar,0.00896668,2018-09-05 18:31:34,UTC
JPY,Japanese Yen,USD,United States Dollar,0.00896636,2018-09-05 18:45:02,UTC
EUR,Euro,USD,United States Dollar,1.1627907,2018-09-05 18:45:32,UTC
GBP,British Pound Sterling,USD,United States Dollar,1.2901561,2018-09-05 18:46:03,UTC
